Q20051142,Q81753
Q32286378,Q610074
Q610074,Q3011
Q3011,Q1194
Q561714,Q8574
Q580870,Q7906
Q7906,Q7931
Q32011543,Q1196
Q2533711,Q183
Q31313315,Q624246
Q624246,Q7899
Q30510092,Q537196
Q537196,Q6092
Q49288777,Q547683
Q547683,Q2937
Q1559851,Q525425
Q525425,Q6139
Q6139,Q1208
Q31994759,Q635708
Q635708,Q7865
Q7865,Q1205
Q32017975,Q1208
Q8174,Q32063954
Q33404094,Q1205
Q476235,Q7899
Q32148190,Q503174
Q503174,Q10466
Q10466,Q10547
Q30657241,Q632363
Q632363,Q2967
Q2967,Q1194
Q31351485,Q6696
Q6696,Q20264
Q20264,Q1202
Q915197,Q32018835
Q32018835,Q6139
Q31528166,Q57926
Q57926,Q6339
Q576592,Q6109
Q6109,Q1208
Q20624,Q1194
Q30634752,Q512083
Q512083,Q10507
Q31309436,Q32201403
Q32201403,Q6330
Q6330,Q1202
Q31345083,Q1197
Q892433,Q1194
Q33519565,Q31987930
Q31987930,Q6092
Q31298666,Q667549
Q667549,Q5907
Q5907,Q1197
Q62019,Q8206
Q8206,Q32017476
Q30618635,Q985
Q33417740,Q1199
Q55128989,Q255106
Q255106,Q10502
Q639088,Q8579
Q8579,Q1200
Q33385053,Q1198
Q34924979,Q1208
Q30507109,Q505433
Q505433,Q8200
Q8200,Q32017476
Q196863,Q6061
Q629653,Q2941
Q2941,Q1194
Q31305902,Q5274
Q5274,Q5937
Q5937,Q7924
Q32245858,Q581489
Q32252351,Q690214
Q690214,Q2898
Q1359136,Q529054
Q529054,Q8233
Q8233,Q8170
Q8170,Q985
Q31313451,Q387346
Q387346,Q7906
Q328277,Q1196
Q33155597,Q1197
Q819205,Q31877469
Q31877469,Q6064
Q30639471,Q1197
Q33223928,Q8517
Q8517,Q8172
Q35385236,Q980
Q30619661,Q627310
Q627310,Q7899
Q30713073,Q20340
Q20340,Q2902
Q31877941,Q1205
Q31914713,Q560270
Q560270,Q8564
Q31300886,Q61827
Q61827,Q8517
Q32049889,Q8580
Q2302546,Q32744346
Q32744346,Q8523
Q8523,Q8172
Q20194,Q2902
Q1569749,Q980
Q648962,Q5922
Q5922,Q1197
Q688612,Q706291
Q706291,Q6071
Q6071,Q1206
Q707011,Q32741874
Q32741874,Q8177
Q8177,Q32063954
Q31314912,Q671874
Q671874,Q6022
Q35356384,Q980
Q32014360,Q1196
Q32068261,Q1196
Q31292493,Q10436
Q31560033,Q14872
Q14872,Q7917
Q7917,Q7932
Q32056528,Q1197
Q32086975,Q1205
Q32065223,Q1194
Q32487941,Q5919
Q5919,Q1197
Q1917569,Q10533
Q10533,Q10562
Q35283870,Q985
Q31541381,Q10405
Q10405,Q10557
Q49283862,Q629259
Q629259,Q7883
Q32192399,Q44333754
Q44333754,Q2941
Q549124,Q10424
Q10424,Q10555
Q220265,Q8165
Q8165,Q33159434
Q33159434,Q32063954
Q637690,Q7872
Q7872,Q1205
Q646472,Q8572
Q30650701,Q186557
Q186557,Q6064
Q31951176,Q8608
Q8608,Q1200
Q32474001,Q1194
Q552390,Q6053
Q32282743,Q557427
Q557427,Q6022
Q30766505,Q7869
Q31358162,Q32001070
Q32001070,Q6087
Q32013281,Q1197
Q32190196,Q8601
Q71028253,Q503790
Q503790,Q10420
Q10420,Q10555
Q31329485,Q33730157
Q33730157,Q8178
Q8178,Q32063954
Q89655763,Q10402
Q20894465,Q508054
Q508054,Q5907
Q550620,Q8208
Q8208,Q32017476
Q632330,Q1205
Q9378635,Q8203
Q8203,Q985
Q32068244,Q1194
Q30661662,Q32752917
Q32752917,Q7871
Q31305867,Q1468
Q1468,Q7896
Q831551,Q4071168
Q4071168,Q31910788
Q820223,Q459674
Q459674,Q2898
Q33389670,Q985
Q32139162,Q8602
Q876248,Q1718
Q1718,Q7926
Q31290906,Q5645
Q5645,Q5946
Q5946,Q7924
Q30596291,Q502559
Q502559,Q6317
Q6317,Q1202
Q634817,Q32063123
Q32063123,Q6075
Q6075,Q1206
Q31345163,Q10912
Q10912,Q5953
Q32541599,Q980
Q32096639,Q32063123
Q35324678,Q980
Q524623,Q10449
Q10449,Q10551
Q10551,Q980
Q822119,Q6068
Q6068,Q1206
Q31327615,Q32065577
Q32065577,Q2876
Q33224806,Q625888
Q625888,Q7898
Q7898,Q7928
Q31951026,Q980
Q30671402,Q703001
Q703001,Q6087
Q30802171,Q1200
Q258569,Q64
Q801014,Q16125
Q16125,Q5956
Q5956,Q1197
Q32064983,Q985
Q9392505,Q8536
Q8536,Q985
Q673462,Q2898
Q31302441,Q242149
Q242149,Q6228
Q6228,Q7923
Q356232,Q6045
Q6045,Q1197
Q56592088,Q1794
Q1794,Q7932
Q32142636,Q10539
Q33459816,Q673696
Q673696,Q2905
Q2905,Q1196
Q505250,Q10472
Q1524426,Q3922
Q3922,Q6230
Q30733269,Q8742
Q8742,Q6313
Q6313,Q1202
Q30653073,Q552477
Q552477,Q7901
Q7901,Q7931
Q32703309,Q5940
Q1409174,Q2865
Q2865,Q1199
Q31911213,Q1197
Q31550531,Q32420916
Q32420916,Q8182
Q8182,Q32063954
Q32137940,Q1194
Q32058186,Q1197
Q33415008,Q1197
Q31292433,Q1208
Q1670204,Q57731
Q57731,Q6339
Q558860,Q10465
Q33728855,Q6064
Q31547234,Q572448
Q572448,Q10523
Q10523,Q10562
Q818718,Q2970
Q2970,Q1194
Q445812,Q8590
Q8590,Q1200
Q674256,Q8572
Q1252034,Q985
Q30621546,Q504553
Q504553,Q10469
Q10469,Q10547
Q250866,Q10423
Q559475,Q32628199
Q32628199,Q5929
Q5929,Q1197
Q326437,Q32057882
Q32057882,Q8522
Q31352713,Q32285038
Q32285038,Q6098
Q31533366,Q10530
Q32014165,Q1202
Q33394847,Q1198
Q30607448,Q8202
Q8202,Q20264
Q224635,Q1726
Q1726,Q980
Q30616238,Q10431
Q10431,Q10554
Q32762488,Q1198
Q555223,Q8572
Q32064793,Q8601
Q625348,Q702755
Q896295,Q985
Q490670,Q8601
Q1450059,Q57876
Q57876,Q6339
Q581728,Q6156
Q6156,Q1208
Q49292509,Q8569
Q30665639,Q1197
Q30743795,Q10507
Q32050534,Q8572
Q31543085,Q515323
Q515323,Q8200
Q61837,Q32420124
Q32420124,Q8541
Q8541,Q8172
Q31319658,Q50889
Q50889,Q6230
Q31914292,Q1197
Q32266382,Q1199
Q32017643,Q32017648
Q32017648,Q20264
Q32128834,Q1197
Q554885,Q7861
Q7861,Q1205
Q30668981,Q5632
Q5632,Q5946
Q30781500,Q512827
Q512827,Q10434
Q10434,Q10554
Q31315079,Q505551
Q505551,Q7890
Q7890,Q7928
Q151161,Q1198
Q875138,Q329609
Q329609,Q31910788
Q31291056,Q70949
Q70949,Q6328
Q31327201,Q572419
Q572419,Q10427
Q10427,Q10555
Q32214106,Q1198
Q31534422,Q310990
Q310990,Q10424
Q572960,Q2937
Q31306196,Q671874
Q637400,Q7882
Q7882,Q1205
Q830784,Q10402
Q30661085,Q1206
Q3920,Q32628107
Q32628107,Q5910
Q5910,Q1197
Q339407,Q7869
Q32085418,Q8585
Q8585,Q1200
Q16008,Q32292546
Q32292546,Q6109
Q30817572,Q8543
Q8543,Q1200
Q31544736,Q539200
Q539200,Q7882
Q32068246,Q1198
Q9291971,Q3218
Q3218,Q455904
Q455904,Q2909
Q2909,Q1196
Q126960,Q10526
Q10526,Q10562
Q437202,Q625273
Q625273,Q7911
Q7911,Q1199
Q31970113,Q1208
Q142169,Q32131348
Q32131348,Q8195
Q8195,Q32017476
Q1369454,Q32764683
Q32764683,Q6181
Q6181,Q1208
Q33377890,Q1208
Q31553770,Q57908
Q57908,Q6339
Q551127,Q7916
Q7916,Q7932
Q32298425,Q660213
Q660213,Q7883
Q32299015,Q1196
Q2636319,Q1729
Q1729,Q1205
Q281277,Q183
Q10776793,Q93253
Q93253,Q571947
Q31335487,Q8583
Q8583,Q1200
Q32059820,Q1196
Q31916732,Q565224
Q565224,Q8557
Q31351915,Q8575
Q31353648,Q560215
Q560215,Q6115
Q32234322,Q10483
Q10483,Q10559
Q31921423,Q980
Q74823124,Q529310
Q529310,Q10477
Q10477,Q10559
Q31305746,Q8593
Q30664650,Q32752917
Q31872330,Q400396
Q400396,Q5922
Q863945,Q1196
Q49286341,Q461903
Q461903,Q3000
Q3000,Q1194
Q30670463,Q32749498
Q32749498,Q20264
Q32084181,Q652049
Q652049,Q8559
Q8559,Q1200
Q32017445,Q980
Q33412045,Q985
Q32063661,Q32518653
Q32518653,Q8203
Q31313216,Q560980
Q560980,Q7893
Q30720300,Q32762414
Q11114,Q5965
Q5965,Q7924
Q31289418,Q93265
Q93265,Q571947
Q31557570,Q256533
Q256533,Q10522
Q35423223,Q1197
Q31910477,Q505665
Q505665,Q5919
Q699340,Q492374
Q492374,Q6061
Q27479196,Q701014
Q701014,Q2909
Q31314846,Q588575
Q32249085,Q1208
Q32017967,Q1197
Q2514225,Q241358
Q241358,Q6280
Q556757,Q7878
Q7878,Q1205
Q32752124,Q980
Q698217,Q7082
Q7082,Q6057
Q31298417,Q552713
Q552713,Q10522
Q59485163,Q200208
Q200208,Q6191
Q6191,Q7920
Q32752016,Q6018
Q6018,Q1197
Q31924098,Q10402
Q31292907,Q10469
Q32236069,Q1200
Q32064079,Q376180
Q376180,Q3000
Q32291924,Q1197
Q34919600,Q1197
Q537738,Q59564401
Q59564401,Q6339
Q31602,Q10491
Q10491,Q10562
Q31925838,Q8572
Q1433579,Q7869
Q22956385,Q9536
Q9536,Q2898
Q31552699,Q1206
Q31522009,Q8596
Q8596,Q1200
Q31326312,Q93253
Q31345101,Q574465
Q574465,Q7911
Q32514251,Q6064
Q30701728,Q10434
Q659304,Q7883
Q30504015,Q640411
Q640411,Q7901
Q30747431,Q312658
Q312658,Q7871
Q32000666,Q117919
Q117919,Q2941
Q1324131,Q32254777
Q32254777,Q8217
Q8217,Q8170
Q693182,Q2917
Q2917,Q1196
Q34835817,Q985
Q32234614,Q1206
Q551818,Q2975
Q2975,Q1194
Q504885,Q10544
Q32503353,Q1196
Q31360582,Q558600
Q558600,Q7911
Q576444,Q1197
Q17325125,Q539118
Q539118,Q6061
Q30703539,Q183483
Q183483,Q6224
Q6224,Q7923
Q33413426,Q980
Q520473,Q8178
Q32751678,Q5956
Q32514173,Q1208
Q35277120,Q985
Q505483,Q31943307
Q31943307,Q8228
Q8228,Q8170
Q31521203,Q8580
Q31338440,Q3912
Q3912,Q5946
Q30615478,Q374915
Q374915,Q8552
Q8552,Q1200
Q31352866,Q522639
Q2285729,Q32751360
Q32751360,Q8198
Q8198,Q32017476
Q32568907,Q1197
Q30683791,Q1208
Q31318406,Q637007
Q637007,Q7899
Q31302235,Q242149
Q49293214,Q555867
Q555867,Q3000
Q32750849,Q1200
Q2139055,Q635365
Q635365,Q7902
Q7902,Q7931
Q31531578,Q499278
Q499278,Q7875
Q49285020,Q8557
Q31305195,Q516724
Q516724,Q7871
Q828362,Q1199
Q199102,Q1196
Q31307996,Q1202
Q32206429,Q980
Q32064775,Q32664293
Q32664293,Q6181
Q633679,Q7905
Q31329113,Q1481
Q1481,Q7894
Q7894,Q7928
Q31298404,Q32753768
Q32753768,Q6330
Q31925980,Q53780
Q53780,Q2902
Q32050410,Q6040
Q6040,Q1197
Q31336342,Q8552
Q31291214,Q1205
Q32284372,Q1208
Q184096,Q1295
Q1295,Q7924
Q31331724,Q10906
Q33427781,Q539118
Q21039775,Q10522
Q32065390,Q8575
Q50378547,Q625403
Q625403,Q6142
Q6142,Q1208
Q30600699,Q980
Q32067988,Q10555
Q30671248,Q6880
Q6880,Q6799
Q6799,Q1201
Q30613779,Q8551
Q8551,Q1200
Q32749763,Q1202
Q1549013,Q1196
Q552236,Q8518
Q8518,Q8172
Q31288749,Q32067981
Q32067981,Q1200
Q632167,Q3000
Q31354459,Q10528
Q10528,Q10562
Q32504450,Q1199
Q32582415,Q1197
Q33482913,Q526337
Q526337,Q6057
Q503536,Q10436
Q323587,Q32235665
Q32235665,Q6109
Q551387,Q2975
Q30764724,Q503830
Q503830,Q7890
Q31303809,Q5982
Q32752602,Q8528
Q8528,Q8172
Q37282895,Q1202
Q33465220,Q8593
Q1958201,Q2814
Q2814,Q1206
Q31918769,Q1197
Q30764807,Q622413
Q622413,Q7896
Q30599726,Q32118935
Q32118935,Q2902
Q31304550,Q622576
Q622576,Q7898
Q30662492,Q503671
Q503671,Q7893
Q818528,Q8580
Q31878934,Q32051501
Q32148244,Q1200
Q32056172,Q8602
Q30808407,Q1208
Q35282322,Q1199
Q32282142,Q1208
Q642794,Q8562
Q8562,Q1200
Q1333460,Q985
Q35378506,Q1196
Q49006124,Q12444
Q12444,Q6287
Q6287,Q7927
Q759437,Q257920
Q257920,Q7896
Q187043,Q31885464
Q182979,Q2127372
Q2127372,Q6239
Q6239,Q7923
Q248062,Q10427
Q544761,Q8228
Q49292457,Q10423
Q625074,Q6178
Q1787023,Q1194
Q30759148,Q8569
Q32066014,Q1208
Q32511647,Q46995077
Q46995077,Q2909
Q314754,Q1794
Q528687,Q2947
Q32518067,Q1196
Q32480505,Q1197
Q30706730,Q32273521
Q32273521,Q7882
Q53763,Q32280258
Q32280258,Q2902
Q21876557,Q21879842
Q21879842,Q266685
Q266685,Q42880
Q42880,Q40
Q30679542,Q550261
Q550261,Q32085035
Q32085035,Q1201
Q31336235,Q32266987
Q32266987,Q8214
Q8214,Q8170
Q33380134,Q980
Q35289689,Q1194
Q32248696,Q985
Q32752059,Q5973
Q5973,Q1197
Q1275495,Q1208
Q30664651,Q492374
Q599805,Q32596049
Q32596049,Q6081
Q1390344,Q509580
Q509580,Q7893
Q32213393,Q1194
Q30791681,Q32751737
Q32751737,Q8214
Q31455777,Q8702
Q8702,Q6313
Q32728473,Q980
Q22957,Q8543
Q32254724,Q503133
Q503133,Q10439
Q10439,Q10554
Q32012769,Q1202
Q33414994,Q1198
Q32128383,Q8585
Q49754774,Q1208
Q31336796,Q10497
Q10497,Q10562
Q45347,Q7909
Q7909,Q7932
Q31306073,Q32035620
Q32035620,Q20264
Q81720,Q36
Q2148096,Q1208
Q32001776,Q985
Q635178,Q3011
Q2212088,Q632615
Q632615,Q5907
Q31290189,Q32074
Q32074,Q10440
Q10440,Q10554
Q30790829,Q31872872
Q31872872,Q8536
Q31301409,Q507731
Q507731,Q10423
Q32541459,Q980
Q4936257,Q31916839
Q31916839,Q7924
Q32262589,Q685405
Q685405,Q8574
Q30685659,Q32751375
Q32751375,Q5907
Q567276,Q8596
Q16216455,Q183
Q61630,Q31896683
Q31896683,Q8198
Q1394209,Q32085191
Q32085191,Q6022
Q30813434,Q694325
Q694325,Q2898
Q32036218,Q1197
Q30679916,Q31898452
Q31898452,Q6041
Q31908667,Q1194
Q32057712,Q8541
Q33476445,Q32280907
Q32280907,Q8230
Q8230,Q8170
Q9392531,Q8520
Q8520,Q985
Q688656,Q518392
Q518392,Q6098
Q31878905,Q445293
Q445293,Q8580
Q31291640,Q183084
Q183084,Q8580
Q31557134,Q10405
Q31333403,Q516474
Q516474,Q7916
Q31310581,Q11050
Q11050,Q6298
Q1767557,Q31910953
Q31910953,Q6115
Q880415,Q32017471
Q32017471,Q33159396
Q33159396,Q32017476
Q31884859,Q555845
Q555845,Q5910
Q1980578,Q1197
Q31345298,Q565525
Q565525,Q7901
Q31537823,Q10523
Q33411447,Q980
Q31356478,Q510543
Q510543,Q10447
Q10447,Q10551
Q49282499,Q7871
Q30665851,Q32118935
Q31301610,Q1208
Q62091858,Q50877
Q1883305,Q5642
Q5642,Q5946
Q32663340,Q6152
Q6152,Q1208
Q33404318,Q1197
Q30504315,Q516462
Q516462,Q7893
Q1246055,Q31971662
Q31971662,Q5929
Q32014195,Q1208
Q32091655,Q1194
Q1667612,Q302785
Q302785,Q10466
Q31354392,Q31949670
Q31949670,Q5973
Q30501883,Q32063994
Q32063994,Q6173
Q32137437,Q1208
Q30727367,Q534634
Q534634,Q10423
Q32093237,Q1196
Q32245119,Q1198
Q30743683,Q671874
Q30705613,Q573603
Q573603,Q7893
Q2298523,Q5567
Q5567,Q5937
Q14926,Q6210
Q6210,Q7920
Q30711039,Q3167
Q3167,Q5982
Q481834,Q10458
Q32008681,Q8225
Q8225,Q8170
Q31330160,Q818550
Q818550,Q6793
Q6793,Q1201
Q575342,Q552390
Q28050,Q2937
Q31305106,Q627771
Q627771,Q7916
Q630286,Q7883
Q31328618,Q7861
Q31887540,Q980
Q31299988,Q540107
Q540107,Q7893
Q75698878,Q559913
Q559913,Q10477
Q32065174,Q1197
Q1015992,Q495778
Q495778,Q10432
Q10432,Q10554
Q479426,Q32664319
Q32664319,Q10562
Q49283532,Q544597
Q544597,Q2941
Q49281548,Q667354
Q667354,Q2967
Q2342445,Q5946
Q31308644,Q1208
Q30619883,Q569680
Q569680,Q702755
Q574691,Q8579
Q32110291,Q1194
Q32750644,Q1206
Q323952,Q1718
Q1269901,Q31999807
Q31999807,Q8533
Q8533,Q8172
Q480107,Q7878
Q30707699,Q7871
Q31341001,Q10919
Q10919,Q5946
Q30712511,Q32730725
Q32730725,Q8522
Q22460,Q8554
Q8554,Q1200
Q49284517,Q8562
Q512098,Q10458
Q31906696,Q532678
Q532678,Q7871
Q31917138,Q555638
Q555638,Q5973
Q175213,Q570414
Q570414,Q7894
Q32262864,Q980
Q1664249,Q42880
Q60222417,Q1202
Q653842,Q8554
Q3185,Q5978
Q31322464,Q980
Q33407851,Q1197
Q505176,Q31927976
Q31927976,Q6081
Q874018,Q6040
Q649507,Q32750728
Q32750728,Q2905
Q30614783,Q8559
Q32752590,Q5956
Q526102,Q10417
Q10417,Q10557
Q683239,Q158893
Q158893,Q31910788
Q32214169,Q980
Q32482018,Q980
Q9322959,Q10526
Q1321597,Q980
Q30650729,Q32027906
Q32027906,Q7866
Q31921035,Q1194
Q525879,Q10453
Q10453,Q10551
Q31923031,Q3936
Q3936,Q32067874
Q32067874,Q10554
Q539604,Q374690
Q374690,Q7879
Q32193103,Q1194
Q72989,Q1197
Q32132055,Q634924
Q634924,Q14920405
Q14920405,Q1206
Q569279,Q8543
Q31924345,Q265110
Q265110,Q10405
Q33223833,Q26461
Q26461,Q10439
Q17083644,Q5934
Q5934,Q1197
Q18628212,Q689718
Q689718,Q6041
Q437780,Q689809
Q689809,Q7866
Q31330013,Q10429
Q471338,Q6087
Q31908535,Q985
Q2151933,Q544439
Q544439,Q6142
Q563522,Q1197
Q30597130,Q985
Q57903,Q6339
Q5559968,Q32031686
Q32031686,Q6053
Q836727,Q7871
Q31537773,Q622207
Q622207,Q7908
Q7908,Q7932
Q28407,Q32191098
Q32191098,Q7888
Q7888,Q1205
Q198991,Q33728855
Q30501757,Q31884113
Q31884113,Q6057
Q700566,Q453990
Q453990,Q5940
Q32018284,Q32018290
Q32018290,Q8195
Q569735,Q8579
Q30657025,Q515825
Q515825,Q10410
Q32162745,Q490066
Q490066,Q6109
Q32485169,Q1197
Q61064571,Q10432
Q32011946,Q1199
Q32000148,Q1208
Q559157,Q2941
Q314887,Q32266987
Q523263,Q32509507
Q32509507,Q5936
Q5936,Q1197
Q32251234,Q8572
Q31896761,Q8590
Q695535,Q32285038
Q32050820,Q1202
Q30761578,Q624787
Q624787,Q7893
Q888852,Q1202
Q15809726,Q6805
Q628498,Q7896
Q30724094,Q4178
Q4178,Q7905
Q35342529,Q980
Q30704309,Q1196
Q30724505,Q621483
Q621483,Q7906
Q32133012,Q651738
Q651738,Q8580
Q33401883,Q1197
Q32038180,Q1208
Q702995,Q539118
Q31910616,Q514940
Q514940,Q10500
Q10500,Q10562
Q160597,Q93287
Q93287,Q571947
Q32059940,Q980
Q985282,Q1194
Q15115285,Q162976
Q162976,Q6245
Q9378648,Q8191
Q31920999,Q669065
Q669065,Q3011
Q661374,Q31951547
Q31951547,Q2909
Q31513776,Q256547
Q256547,Q10405
Q32187949,Q8608
Q31910892,Q8228
Q30511633,Q241358
Q32058551,Q10445
Q10445,Q10554
Q328287,Q3138
Q3138,Q1200
Q2586623,Q544439
Q32297724,Q1197
Q31943599,Q1208
Q32036451,Q583134
Q583134,Q6181
Q354547,Q31869828
Q31869828,Q6022
Q30505944,Q10420
